mul_name,retrained_acc,net,dataset,concat
ReFAM_sta4_j2_k3_const1,0.7580000162124634,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j7_k3_const1,0.09870000183582306,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k7_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k1_const0,0.7522000074386597,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k5_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k5_const0,0.26269999146461487,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j3_k1_const1,0.7663999795913696,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k4_const1,0.7506999969482422,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j8_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j2_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j7_k3_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j1_k6_const0,0.25940001010894775,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j3_k7_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k3_const1,0.7555000185966492,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j4_k3_const0,0.28130000829696655,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j4_k6_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k1_const0,0.7530999779701233,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k3_const0,0.7470999956130981,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j6_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k2_const0,0.7590000033378601,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k2_const0,0.754800021648407,vgg16,cifar10,vgg16cifar10
ReFAM_sta1_j2_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j7_k2_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j6_k4_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j5_k5_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j6_k1_const0,0.337799996137619,vgg16,cifar10,vgg16cifar10
ReFAM_sta4_j1_k8_const1,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j3_k3_const1,0.7483000159263611,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k3_const0,0.7437999844551086,vgg16,cifar10,vgg16cifar10
ReFAM_sta2_j2_k8_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
ReFAM_sta3_j6_k2_const0,0.10000000149011612,vgg16,cifar10,vgg16cifar10
